"year","EEZ","totalPBF"
1980,"Mexico",187
1981,"Mexico",123
1982,"Mexico",273
1983,"Mexico",1469
1984,"Mexico",1069
1985,"Mexico",4298
1986,"Mexico",250
1987,"Mexico",1946
1988,"Mexico",183
1989,"Mexico",6431
1990,"Mexico",3557
1991,"Mexico",5330
1992,"Mexico",5261
1993,"Mexico",10219
1994,"Mexico",2234
1995,"Mexico",15965
1996,"Mexico",2635
1997,"Mexico",6992
1998,"Mexico",17653
1999,"Mexico",35253
2000,"Mexico",19301
2001,"Mexico",18444
2002,"Mexico",20331
2003,"Mexico",19803
2004,"Mexico",2963
2005,"Mexico",5065
2006,"Mexico",6145
2007,"Mexico",845
2008,"Mexico",7144
2009,"Mexico",9359
2010,"Mexico",8319
2011,"Mexico",28961
2012,"Mexico",34760
2013,"Mexico",57396
2014,"Mexico",7882
2015,"Mexico",316
2016,"Mexico",1191
2017,"Mexico",4061
2018,"Mexico",2969
2019,"Mexico",13221
2020,"Mexico",9458
2021,"Mexico",15880
1980,"United States",542
1981,"United States",419
1982,"United States",392
1983,"United States",443
1984,"United States",1765
1985,"United States",850
1986,"United States",443
1987,"United States",5
1988,"United States",147
1989,"United States",88
1990,"United States",198
1992,"United States",3325
1993,"United States",316
1994,"United States",10
1995,"United States",101
1996,"United States",93
1997,"United States",1423
1998,"United States",2904
1999,"United States",1670
2000,"United States",1588
2001,"United States",3937
2002,"United States",13269
2003,"United States",2894
2004,"United States",506
2005,"United States",724
2006,"United States",1356
2007,"United States",187
2008,"United States",3245
2009,"United States",2794
2010,"United States",327
2011,"United States",2743
2012,"United States",5702
2013,"United States",6556
2014,"United States",18942
2015,"United States",22306
2016,"United States",9598
2017,"United States",11717
2018,"United States",10492
2019,"United States",4253
2020,"United States",25086
2021,"United States",22101
