stock,year,age3,age4,total,age3,age4,age2,age3,age4,age5,total
Klamath River Fall Chinook,1981,493.2,57,550.2,0.21,0.53,28.2,64.1,14.4,1.8,80.3
Klamath River Fall Chinook,1982,561.1,133.4,694.5,0.3,0.52,39.4,30.1,33.9,2.6,66.6
Klamath River Fall Chinook,1983,313.3,114.2,427.5,0.19,0.6,3.8,35.9,20.7,0.9,57.5
Klamath River Fall Chinook,1984,157.3,82.8,240.1,0.08,0.38,8.3,21.7,24.4,1.1,47.2
Klamath River Fall Chinook,1985,374.8,56.9,431.7,0.11,0.24,69.4,32.9,25.7,5.8,64.4
Klamath River Fall Chinook,1986,"1,304.40",140.8,"1,445.20",0.18,0.46,44.6,162.9,29.8,2.3,195
Klamath River Fall Chinook,1987,781.1,341.9,"1,123.00",0.16,0.43,19.1,89.7,112.6,6.8,209.1
Klamath River Fall Chinook,1988,756.3,234.8,991,0.2,0.39,24.1,101.2,86.5,3.9,191.6
Klamath River Fall Chinook,1989,369.8,177.2,547.1,0.15,0.36,9.1,50.4,69.6,4.3,124.3
Klamath River Fall Chinook,1990,176.1,104,280.1,0.3,0.55,4.4,11.6,22.9,1.3,35.9
Klamath River Fall Chinook,1991,69.4,37.2,106.6,0.03,0.18,1.8,10,21.6,1.1,32.7
Klamath River Fall Chinook,1992,39.5,28.2,67.7,0.02,0.07,13.7,6.9,18.8,1,26.7
Klamath River Fall Chinook,1993,168.5,15,183.5,0.05,0.16,7.6,48.3,8.2,0.7,57.2
Klamath River Fall Chinook,1994,119.9,41.7,161.7,0.03,0.09,14.4,37,26,1,64
Klamath River Fall Chinook,1995,787.3,28.7,816,0.04,0.14,22.8,201.9,18.3,2.6,222.8
Klamath River Fall Chinook,1996,192.3,226.3,418.6,0.05,0.16,9.5,38.8,136.7,0.3,175.8
Klamath River Fall Chinook,1997,140.2,62.8,203,0.01,0.06,8,35,44.2,4.6,83.7
Klamath River Fall Chinook,1998,154.8,44.7,199.5,0,0.09,4.6,59.2,29.7,1.7,90.6
Klamath River Fall Chinook,1999,129.1,30.5,159.5,0.02,0.09,19.2,29.2,20.5,1.3,51
Klamath River Fall Chinook,2000,617.1,44.2,661.3,0.06,0.1,10.2,187.1,30.5,0.5,218.1
Klamath River Fall Chinook,2001,356.1,133.8,489.9,0.03,0.09,11.3,99.1,88.2,0.1,187.3
Klamath River Fall Chinook,2002,513.6,98.9,612.5,0.02,0.15,9.2,94.6,62.5,3.7,160.8
Klamath River Fall Chinook,2003,401.1,192.2,593.3,0.08,0.21,3.8,94.3,96.8,0.9,191.9
Klamath River Fall Chinook,2004,159.4,105.2,264.7,0.12,0.35,9.6,33.1,40.5,5.3,78.9
Klamath River Fall Chinook,2005,190,38.1,228.1,0.02,0.2,2.3,43.8,17.5,3.9,65.2
Klamath River Fall Chinook,2006,90.7,63.4,154.1,0.01,0.1,26.9,18.5,41.6,1.3,61.4
Klamath River Fall Chinook,2007,376.9,33.7,410.6,0.06,0.21,1.7,113.7,16.8,1.6,132.1
Klamath River Fall Chinook,2008,68,81.4,149.4,0,0.1,25.2,18.6,50.2,1.7,70.6
Klamath River Fall Chinook,2009,240.8,21.1,261.9,0,0,11.9,78.6,16.4,5.6,100.6
Klamath River Fall Chinook,2010,192.8,62.1,254.8,0.01,0.04,16.6,46.1,44.3,0.4,90.9
Klamath River Fall Chinook,2011,240.2,64.6,304.8,0.03,0.08,84.9,59,41,2,102
Klamath River Fall Chinook,2012,799.4,74.3,873.7,0.03,0.08,21.4,243.9,49.3,2.1,295.3
Klamath River Fall Chinook,2013,438.4,194.4,632.9,0.04,0.2,14.4,55.2,108.8,1.1,165
Klamath River Fall Chinook,2014,216.5,180.7,397.2,0.03,0.17,22.3,57.8,98.7,3.9,160.4
Klamath River Fall Chinook,2015,110.5,61,171.5,0.02,0.22,6.1,36.7,34,7.1,77.8
Klamath River Fall Chinook,2016,32.7,24.8,57.4,0.01,0.09,2.8,8.6,15.5,0.5,24.6
Klamath River Fall Chinook,2017,63.2,9.8,73.1,0.02,0.04,20.3,24.4,7.3,1.6,33.2
Klamath River Fall Chinook,2018,193.7,10.5,204.2,0.06,0.24,10.9,85.5,5.6,0,91.1
Klamath River Fall Chinook,2019,81.8,15.7,97.5,0.04,0.36,10,30.2,6.8,0.1,37.1
Klamath River Fall Chinook,2020,132.9a/,14.2,147.1,0.01a/,0.23,9.1,37.8,7.6,0,45.4
Klamath River Fall Chinook,2021,155.3b/,38.3a/,193.6,NAc/,0.27a/,10.4,36.2,17.7,0.2,54.2
