Year	Species	Weight (kg)
2018	bluefin tuna	94.35
2018	bluefin tuna	18.14
2018	bluefin tuna	130.18
2018	bluefin tuna	64.55
2018	bluefin tuna	18.14
2018	bluefin tuna	95.25
2018	bluefin tuna	108.41
2018	bluefin tuna	136.98
2018	bluefin tuna	127.46
2018	bluefin tuna	46.72
2018	bluefin tuna	13.61
2018	bluefin tuna	125.19
2018	bluefin tuna	97.07
2018	bluefin tuna	100.70
2018	bluefin tuna	99.79
2018	bluefin tuna	99.34
2018	bluefin tuna	104.33
2018	bluefin tuna	113.40
2018	bluefin tuna	45.81
2018	bluefin tuna	110.22
2018	bluefin tuna	131.54
2018	bluefin tuna	110.22
2018	bluefin tuna	48.53
2018	bluefin tuna	102.78
2018	bluefin tuna	145.60
2018	bluefin tuna	102.51
2018	bluefin tuna	153.31
2018	bluefin tuna	136.08
2018	bluefin tuna	93.44
2018	bluefin tuna	83.91
2018	bluefin tuna	99.79
2018	bluefin tuna	138.34
2018	bluefin tuna	97.98
2018	bluefin tuna	93.89
2018	bluefin tuna	119.29
2018	bluefin tuna	81.65
2018	bluefin tuna	106.14
2018	bluefin tuna	106.59
2018	bluefin tuna	120.20
2018	bluefin tuna	44.45
2018	bluefin tuna	81.65
2018	bluefin tuna	35.83
2018	bluefin tuna	99.79
2018	bluefin tuna	110.22
2018	bluefin tuna	26.44
2018	bluefin tuna	111.58
2018	bluefin tuna	40.82
2018	bluefin tuna	120.20
2018	bluefin tuna	20.41
2018	bluefin tuna	165.56
2018	bluefin tuna	39.46
2018	bluefin tuna	41.73
2018	bluefin tuna	113.40
2018	bluefin tuna	110.22
2018	bluefin tuna	44.45
2018	bluefin tuna	30.84
2018	bluefin tuna	22.68
2018	bluefin tuna	27.67
2018	bluefin tuna	31.75
2019	bluefin tuna	32.70
2019	bluefin tuna	29.48
2019	bluefin tuna	27.67
2019	bluefin tuna	31.30
2019	bluefin tuna	72.57
2019	bluefin tuna	32.66
2019	bluefin tuna	36.29
2019	bluefin tuna	32.20
2019	bluefin tuna	58.97
2019	bluefin tuna	91.63
2019	bluefin tuna	22.68
2019	bluefin tuna	111.13
2019	bluefin tuna	31.75
2019	bluefin tuna	31.75
2019	bluefin tuna	36.29
2019	bluefin tuna	33.84
2019	bluefin tuna	31.75
2019	bluefin tuna	29.48
2019	bluefin tuna	39.46
2019	bluefin tuna	63.50
2019	bluefin tuna	65.77
2019	bluefin tuna	65.77
2019	bluefin tuna	68.04
2019	bluefin tuna	58.97
2019	bluefin tuna	68.49
2019	bluefin tuna	38.56
2019	bluefin tuna	65.32
2019	bluefin tuna	19.23
2019	bluefin tuna	18.69
2019	bluefin tuna	113.85
2019	bluefin tuna	38.56
2019	bluefin tuna	119.29
2019	bluefin tuna	43.09
2019	bluefin tuna	137.44
2019	bluefin tuna	130.63
2019	bluefin tuna	149.68
2019	bluefin tuna	108.86
2019	bluefin tuna	39.01
2019	bluefin tuna	36.29
2019	bluefin tuna	83.91
2019	bluefin tuna	42.09
2019	bluefin tuna	42.00
2019	bluefin tuna	42.27
2019	bluefin tuna	19.87
2019	bluefin tuna	156.03
2019	bluefin tuna	19.96
2019	bluefin tuna	46.72
2019	bluefin tuna	68.04
2019	bluefin tuna	137.44
2019	bluefin tuna	121.11
2019	bluefin tuna	152.41
2019	bluefin tuna	84.82
2019	bluefin tuna	22.68
2019	bluefin tuna	22.68
2019	bluefin tuna	34.02
2019	bluefin tuna	54.43
2019	bluefin tuna	20.41
2019	bluefin tuna	54.43
2019	bluefin tuna	142.43
2019	bluefin tuna	159.21
2019	bluefin tuna	79.38
2019	bluefin tuna	145.60
2019	bluefin tuna	81.65
