year,recruitment
1935,50
1936,86.08321
1937,86.08321
1938,86.08321
1939,172.16643
1940,50
1941,172.16643
1942,86.08321
1943,86.08321
1944,86.08321
1945,50
1946,172.16643
1947,86.08321
1948,86.08321
1949,172.16643
1950,86.08321
1951,172.16643
1952,86.08321
1953,86.08321
1954,86.08321
1955,86.08321
1956,86.08321
1957,86.08321
1958,86.08321
1959,86.08321
1960,86.08321
1961,50
1962,172.16643
1963,86.08321
1964,172.16643
1965,172.16643
1966,172.16643
1967,172.16643
1968,86.08321
1969,172.16643
1970,516.49928
1971,172.16643
1972,86.08321
1973,86.08321
1974,50
1975,86.08321
1976,258.24964
1977,344.33286
1978,430.41607
1979,602.5825
1980,86.08321
1981,172.16643
1982,50
1983,86.08321
1984,50
1985,50
1986,50
1987,50
1988,50
1989,50
1990,50
1991,50
1992,50
1993,50
1994,50
1995,50
1996,50
1997,50
1998,50
1999,50
2000,50
2001,50
2002,50
2003,50
2004,50
2005,50
2006,50
2007,50
2008,50
2009,50
2010,50
2011,50
2012,50
2013,50
2014,50
2015,50
2016,50
2017,24619.79914
2018,50
2019,50
