"","year","Engraulis.mordax","ln.anch"
"1",1951,7.65837837837838,2.15852745081126
"2",1952,17.5832432432432,2.92226027376314
"3",1953,10.4948837209302,2.44190204254243
"4",1954,14.3697435897436,2.73240087489629
"5",1955,50.804375,3.9474746051584
"6",1956,52.0126470588235,3.97053050883739
"7",1957,406.726666666667,6.01059701525715
"8",1958,236.425,5.46985178412902
"9",1959,666.929285714286,6.50418230822396
"10",1960,305.593181818182,5.72552172815451
"11",1961,239.761363636364,5.48380625054608
"12",1962,946.088139534884,6.85339216122563
"13",1963,910.76652173913,6.81538395043399
"14",1964,833.741276595745,6.7271218284496
"15",1965,895.771276595745,6.79880084247132
"16",1966,736.012444444444,6.6026047773174
"17",1969,393.336818181818,5.97720541258776
"18",1975,23.6168,3.20342913667917
"19",1978,968.658759230769,6.87694421499573
"20",1981,1267.8016123,7.14582812160802
"21",1983,288.144491034483,5.66692653214704
"22",1984,470.119884634615,6.15511259376155
"23",1985,43.7939402745098,3.80207286854256
"24",1986,586.834582283019,6.37644558567206
"25",1987,331.974525,5.80806598555255
"26",1988,182.58811,5.21269471574076
"27",1989,48.7858295645161,3.90773039664219
"28",1990,979.393157894737,6.88795367273807
"29",1991,580.977401679245,6.36643161824776
"30",1992,118.92859375,4.78689651358496
"31",1993,140.618615384615,4.95313763719953
"32",1994,376.782684,5.93431912024253
"33",1995,108.771850185185,4.698404122665
"34",1996,61.4480090505,4.13433435536683
"35",1997,25.249339368,3.26764082178761
"36",1998,128.098710857813,4.86057731219323
"37",1999,145.123047049967,4.9844490547754
"38",2000,128.43346445,4.86316696107441
"39",2001,59.6865734405,4.10572247821923
"40",2002,79.3667875803906,4.38660100104369
"41",2003,28.8720619127692,3.3969236593993
"42",2004,51.2888227532,3.95678263414281
"43",2005,895.318417464754,6.79829572647838
"44",2006,56.8573551736825,4.05798058771308
"45",2007,15.0947719774643,2.77849449736022
"46",2008,7.61216685661538,2.15317595421171
"47",2009,4.55645133622951,1.71495965561538
"48",2010,0.157991951967742,0.146687429185152
"49",2011,0.493304901081967,0.400991718123492
"50",2012,0.941176470588235,0.663294217410264
"51",2013,0.364082905362069,0.310482338631412
"52",2014,94.0544973302742,4.55445038323092
"53",2015,6.12276405183333,1.96329585961722
"54",2016,145.519996422339,4.98716191349305
"55",2017,306.541183608516,5.72860900871289
"56",2018,516.434721405556,6.24888337497144
"57",2019,1250.58678840536,7.13216745597468
"58",2021,613.187463488372,6.42030019667561
"59",2022,1863.81085209487,7.53091490714631
